Période,Produit,Sous-Type de Produit/Catégorie/Article,Mode de Transport,Origine,Destination,Port,Activité,Unité,Valeurs
1990Q1,Electricity,N/A,N/A,Manitoba,North Dakota,N/A,Exports,CAN$/MW.h,23.54314333
1990Q1,Electricity,N/A,N/A,New Brunswick,Maine,N/A,Exports,MW.h,496467.83
1990Q1,Electricity,N/A,N/A,New Brunswick,Maine,N/A,Exports,CAN$,22630300.51
1990Q1,Electricity,N/A,N/A,New Brunswick,Maine,N/A,Exports,CAN$/MW.h,45.06898364
1990Q1,Electricity,N/A,N/A,New Brunswick,Massachusetts,N/A,Exports,MW.h,431562
1990Q1,Electricity,N/A,N/A,New Brunswick,Massachusetts,N/A,Exports,CAN$,24980549
1990Q1,Electricity,N/A,N/A,New Brunswick,Massachusetts,N/A,Exports,CAN$/MW.h,57.88403289
1990Q1,Electricity,N/A,N/A,Ontario,Michigan,N/A,Exports,MW.h,342.94
1990Q1,Electricity,N/A,N/A,Ontario,Michigan,N/A,Exports,CAN$,0
1990Q1,Electricity,N/A,N/A,Ontario,Michigan,N/A,Exports,CAN$/MW.h,0
1990Q1,Electricity,N/A,N/A,Ontario,New York,N/A,Exports,MW.h,15068.788
1990Q1,Electricity,N/A,N/A,Ontario,New York,N/A,Exports,CAN$,684355.72
1990Q1,Electricity,N/A,N/A,Ontario,New York,N/A,Exports,CAN$/MW.h,41.9728375
1990Q1,Electricity,N/A,N/A,Ontario,Vermont,N/A,Exports,MW.h,60760
1990Q1,Electricity,N/A,N/A,Ontario,Vermont,N/A,Exports,CAN$,3211269.33
1990Q1,Electricity,N/A,N/A,Ontario,Vermont,N/A,Exports,CAN$/MW.h,36.73384463
1990Q1,Electricity,N/A,N/A,Québec,New York,N/A,Exports,MW.h,18502
1990Q1,Electricity,N/A,N/A,Québec,New York,N/A,Exports,CAN$,622954.76
1990Q1,Electricity,N/A,N/A,Québec,New York,N/A,Exports,CAN$/MW.h,33.66959031
1990Q1,Electricity,N/A,N/A,Québec,Vermont,N/A,Exports,MW.h,480514
1990Q1,Electricity,N/A,N/A,Québec,Vermont,N/A,Exports,CAN$,20753137.33
1990Q1,Electricity,N/A,N/A,Québec,Vermont,N/A,Exports,CAN$/MW.h,39.39568373
1990Q2,Electricity,N/A,N/A,Maine,New Brunswick,N/A,Imports,MW.h,2462.6
1990Q2,Electricity,N/A,N/A,Maine,New Brunswick,N/A,Imports,CAN$,134542.54
1990Q2,Electricity,N/A,N/A,Maine,New Brunswick,N/A,Imports,CAN$/MW.h,54.63434581
1990Q2,Electricity,N/A,N/A,Michigan,Ontario,N/A,Imports,MW.h,3360446.6
1990Q2,Electricity,N/A,N/A,Michigan,Ontario,N/A,Imports,CAN$,114903969.9
1990Q2,Electricity,N/A,N/A,Michigan,Ontario,N/A,Imports,CAN$/MW.h,34.19306527
1990Q2,Electricity,N/A,N/A,Minnesota,Manitoba,N/A,Imports,MW.h,154135
1990Q2,Electricity,N/A,N/A,Minnesota,Manitoba,N/A,Imports,CAN$,1948781.04
1990Q2,Electricity,N/A,N/A,Minnesota,Manitoba,N/A,Imports,CAN$/MW.h,12.64333889
1990Q2,Electricity,N/A,N/A,Minnesota,Ontario,N/A,Imports,MW.h,42223
1990Q2,Electricity,N/A,N/A,Minnesota,Ontario,N/A,Imports,CAN$,1553269.4
1990Q2,Electricity,N/A,N/A,Minnesota,Ontario,N/A,Imports,CAN$/MW.h,36.78728181
