Period,Product,Product subtype/Category/Commodity,Mode of transportation,Origin,Destination,Port,Activity,Units,Value
1990Q1,Electricity,N/A,N/A,Minnesota,Ontario,N/A,Imports,CAN$/MW.h,33.60308166
1990Q1,Electricity,N/A,N/A,Montana,British Columbia,N/A,Imports,MW.h,26
1990Q1,Electricity,N/A,N/A,Montana,British Columbia,N/A,Imports,CAN$,1465.47
1990Q1,Electricity,N/A,N/A,Montana,British Columbia,N/A,Imports,CAN$/MW.h,56.36423077
1990Q1,Electricity,N/A,N/A,New England-ISO,Québec,N/A,Imports,MW.h,57811
1990Q1,Electricity,N/A,N/A,New England-ISO,Québec,N/A,Imports,CAN$,3905434.71
1990Q1,Electricity,N/A,N/A,New England-ISO,Québec,N/A,Imports,CAN$/MW.h,67.55521804
1990Q1,Electricity,N/A,N/A,New York,Ontario,N/A,Imports,MW.h,257143
1990Q1,Electricity,N/A,N/A,New York,Ontario,N/A,Imports,CAN$,3835849.36
1990Q1,Electricity,N/A,N/A,New York,Ontario,N/A,Imports,CAN$/MW.h,14.91718367
1990Q1,Electricity,N/A,N/A,New York,Québec,N/A,Imports,MW.h,694518
1990Q1,Electricity,N/A,N/A,New York,Québec,N/A,Imports,CAN$,37763879.81
1990Q1,Electricity,N/A,N/A,New York,Québec,N/A,Imports,CAN$/MW.h,54.37422761
1990Q1,Electricity,N/A,N/A,North Dakota,Manitoba,N/A,Imports,MW.h,128830
1990Q1,Electricity,N/A,N/A,North Dakota,Manitoba,N/A,Imports,CAN$,2123352.51
1990Q1,Electricity,N/A,N/A,North Dakota,Manitoba,N/A,Imports,CAN$/MW.h,16.4818172
1990Q1,Electricity,N/A,N/A,North Dakota,Saskatchewan,N/A,Imports,MW.h,33491
1990Q1,Electricity,N/A,N/A,North Dakota,Saskatchewan,N/A,Imports,CAN$,501801.9
1990Q1,Electricity,N/A,N/A,North Dakota,Saskatchewan,N/A,Imports,CAN$/MW.h,14.98318653
1990Q1,Electricity,N/A,N/A,Vermont,Québec,N/A,Imports,MW.h,0
1990Q1,Electricity,N/A,N/A,Vermont,Québec,N/A,Imports,CAN$,44486.56
1990Q1,Electricity,N/A,N/A,Vermont,Québec,N/A,Imports,CAN$/MW.h,0
1990Q1,Electricity,N/A,N/A,Washington,Alberta,N/A,Imports,MW.h,693
1990Q1,Electricity,N/A,N/A,Washington,Alberta,N/A,Imports,CAN$,30780.48
1990Q1,Electricity,N/A,N/A,Washington,Alberta,N/A,Imports,CAN$/MW.h,44.41627706
1990Q1,Electricity,N/A,N/A,Washington,British Columbia,N/A,Imports,MW.h,601344.2
1990Q1,Electricity,N/A,N/A,Washington,British Columbia,N/A,Imports,CAN$,112250.4
1990Q1,Electricity,N/A,N/A,Washington,British Columbia,N/A,Imports,CAN$/MW.h,0.1866658064
1990Q2,Electricity,N/A,N/A,British Columbia,Alaska,N/A,Exports,MW.h,184.44
1990Q2,Electricity,N/A,N/A,British Columbia,Alaska,N/A,Exports,CAN$,11930
1990Q2,Electricity,N/A,N/A,British Columbia,Alaska,N/A,Exports,CAN$/MW.h,64.6822815
1990Q2,Electricity,N/A,N/A,British Columbia,California,N/A,Exports,MW.h,59231.678
1990Q2,Electricity,N/A,N/A,British Columbia,California,N/A,Exports,CAN$,1340954.68
1990Q2,Electricity,N/A,N/A,British Columbia,California,N/A,Exports,CAN$/MW.h,22.63914725
1990Q2,Electricity,N/A,N/A,British Columbia,Idaho,N/A,Exports,MW.h,37366
1990Q2,Electricity,N/A,N/A,British Columbia,Idaho,N/A,Exports,CAN$,659193.25
1990Q2,Electricity,N/A,N/A,British Columbia,Idaho,N/A,Exports,CAN$/MW.h,17.64152572
1990Q2,Electricity,N/A,N/A,British Columbia,Montana,N/A,Exports,MW.h,1508
1990Q2,Electricity,N/A,N/A,British Columbia,Montana,N/A,Exports,CAN$,25036.84
1990Q2,Electricity,N/A,N/A,British Columbia,Montana,N/A,Exports,CAN$/MW.h,16.60267905
1990Q2,Electricity,N/A,N/A,British Columbia,Nevada,N/A,Exports,MW.h,710
1990Q2,Electricity,N/A,N/A,British Columbia,Nevada,N/A,Exports,CAN$,12612.95
1990Q2,Electricity,N/A,N/A,British Columbia,Nevada,N/A,Exports,CAN$/MW.h,17.76471831
1990Q2,Electricity,N/A,N/A,British Columbia,Oregon,N/A,Exports,MW.h,271967
1990Q2,Electricity,N/A,N/A,British Columbia,Oregon,N/A,Exports,CAN$,4986916.06
1990Q2,Electricity,N/A,N/A,British Columbia,Oregon,N/A,Exports,CAN$/MW.h,18.33647487
1990Q2,Electricity,N/A,N/A,British Columbia,Washington,N/A,Exports,MW.h,312324.339
1990Q2,Electricity,N/A,N/A,British Columbia,Washington,N/A,Exports,CAN$,257699.1
1990Q2,Electricity,N/A,N/A,British Columbia,Washington,N/A,Exports,CAN$/MW.h,0.8251009218
1990Q2,Electricity,N/A,N/A,Manitoba,Minnesota,N/A,Exports,MW.h,514931.233
1990Q2,Electricity,N/A,N/A,Manitoba,Minnesota,N/A,Exports,CAN$,6559750.25
1990Q2,Electricity,N/A,N/A,Manitoba,Minnesota,N/A,Exports,CAN$/MW.h,12.73908015
1990Q2,Electricity,N/A,N/A,Manitoba,North Dakota,N/A,Exports,MW.h,45114
1990Q2,Electricity,N/A,N/A,Manitoba,North Dakota,N/A,Exports,CAN$,978947.72
1990Q2,Electricity,N/A,N/A,Manitoba,North Dakota,N/A,Exports,CAN$/MW.h,21.69942191
1990Q2,Electricity,N/A,N/A,New Brunswick,Maine,N/A,Exports,MW.h,719210.402
1990Q2,Electricity,N/A,N/A,New Brunswick,Maine,N/A,Exports,CAN$,25583578.23
1990Q2,Electricity,N/A,N/A,New Brunswick,Maine,N/A,Exports,CAN$/MW.h,35.5717578
1990Q2,Electricity,N/A,N/A,New Brunswick,Massachusetts,N/A,Exports,MW.h,449414
1990Q2,Electricity,N/A,N/A,New Brunswick,Massachusetts,N/A,Exports,CAN$,28826420
1990Q2,Electricity,N/A,N/A,New Brunswick,Massachusetts,N/A,Exports,CAN$/MW.h,64.14223856
1990Q2,Electricity,N/A,N/A,Ontario,Michigan,N/A,Exports,MW.h,326.94
1990Q2,Electricity,N/A,N/A,Ontario,Michigan,N/A,Exports,CAN$,0
1990Q2,Electricity,N/A,N/A,Ontario,Michigan,N/A,Exports,CAN$/MW.h,0
1990Q2,Electricity,N/A,N/A,Ontario,Minnesota,N/A,Exports,MW.h,16
1990Q2,Electricity,N/A,N/A,Ontario,Minnesota,N/A,Exports,CAN$,782
1990Q2,Electricity,N/A,N/A,Ontario,Minnesota,N/A,Exports,CAN$/MW.h,48.875
1990Q2,Electricity,N/A,N/A,Ontario,New York,N/A,Exports,MW.h,192174.59
1990Q2,Electricity,N/A,N/A,Ontario,New York,N/A,Exports,CAN$,1412413.83
1990Q2,Electricity,N/A,N/A,Ontario,New York,N/A,Exports,CAN$/MW.h,7.349638836
1990Q2,Electricity,N/A,N/A,Ontario,Vermont,N/A,Exports,MW.h,23912
1990Q2,Electricity,N/A,N/A,Ontario,Vermont,N/A,Exports,CAN$,904542.23
1990Q2,Electricity,N/A,N/A,Ontario,Vermont,N/A,Exports,CAN$/MW.h,37.82796211
1990Q2,Electricity,N/A,N/A,Québec,Maine,N/A,Exports,MW.h,844.61
1990Q2,Electricity,N/A,N/A,Québec,Maine,N/A,Exports,CAN$,51016.38
1990Q2,Electricity,N/A,N/A,Québec,Maine,N/A,Exports,CAN$/MW.h,60.40229218
1990Q2,Electricity,N/A,N/A,Québec,New England-ISO,N/A,Exports,MW.h,12243
1990Q2,Electricity,N/A,N/A,Québec,New England-ISO,N/A,Exports,CAN$,109928.72
1990Q2,Electricity,N/A,N/A,Québec,New England-ISO,N/A,Exports,CAN$/MW.h,8.978903863
